#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   5900      2.65e+00    3.34e+00      7.26e-02    8.38e-03      1.18e-01    1.49e-01    1.0e-03
   6000      3.23e+00    3.24e+00      1.33e-01    2.23e-01      1.42e-01    1.41e-01    1.0e-03
   6100      2.41e+00    2.77e+00      1.51e-01    1.39e-01      1.05e-01    1.22e-01    1.0e-03
   6200      2.77e+00    2.55e+00      8.08e-03    1.65e-03      1.24e-01    1.14e-01    1.0e-03
   6300      3.49e+00    3.14e+00      5.40e-02    9.46e-02      1.56e-01    1.40e-01    1.0e-03
   6400      2.82e+00    2.40e+00      8.83e-02    6.63e-03      1.25e-01    1.07e-01    1.0e-03
   6500      3.65e+00    2.87e+00      9.62e-02    2.02e-01      1.61e-01    1.21e-01    1.0e-03
   6600      2.42e+00    2.43e+00      5.65e-02    8.82e-02      1.08e-01    1.08e-01    1.0e-03
   6700      3.60e+00    3.23e+00      5.33e-02    3.11e-02      1.61e-01    1.44e-01    1.0e-03
   6800      4.12e+00    3.34e+00      6.68e-02    1.09e-01      1.84e-01    1.49e-01    1.0e-03
   6900      4.15e+00    3.41e+00      1.12e-01    8.90e-03      1.85e-01    1.53e-01    1.0e-03
   7000      2.63e+00    3.11e+00      9.97e-02    1.22e-01      1.17e-01    1.38e-01    1.0e-03
   7100      2.85e+00    2.43e+00      6.48e-02    1.75e-02      1.27e-01    1.09e-01    1.0e-03
   7200      3.20e+00    3.48e+00      4.90e-02    8.46e-02      1.43e-01    1.55e-01    1.0e-03
   7300      4.68e+00    3.57e+00      8.44e-02    1.15e-01      2.09e-01    1.59e-01    1.0e-03
   7400      2.70e+00    2.45e+00      1.66e-01    1.66e-01      1.18e-01    1.07e-01    1.0e-03
   7500      2.38e+00    2.45e+00      6.95e-02    9.18e-02      1.05e-01    1.09e-01    1.0e-03
   7600      2.89e+00    5.17e+00      7.31e-02    2.76e-02      1.28e-01    2.31e-01    1.0e-03
   7700      3.53e+00    5.74e+00      1.26e-01    1.31e-01      1.57e-01    2.56e-01    1.0e-03
   7800      3.81e+00    3.34e+00      4.96e-02    5.42e-02      1.70e-01    1.49e-01    1.0e-03
   7900      3.80e+00    3.12e+00      1.12e-01    1.51e-01      1.69e-01    1.38e-01    1.0e-03
   8000      4.05e+00    3.61e+00      1.07e-02    3.17e-01      1.81e-01    1.57e-01    1.0e-03
   8100      3.99e+00    2.87e+00      3.57e-02    1.50e-02      1.78e-01    1.28e-01    1.0e-03
   8200      2.84e+00    2.92e+00      1.30e-01    4.12e-03      1.25e-01    1.30e-01    1.0e-03
   8300      2.72e+00    2.96e+00      7.76e-02    2.54e-01      1.21e-01    1.29e-01    1.0e-03
   8400      2.88e+00    3.12e+00      3.23e-02    9.90e-03      1.29e-01    1.39e-01    1.0e-03
   8500      2.92e+00    4.33e+00      8.71e-02    1.00e-02      1.29e-01    1.94e-01    1.0e-03
   8600      2.49e+00    3.60e+00      6.24e-02    8.49e-02      1.11e-01    1.60e-01    1.0e-03
   8700      2.62e+00    3.37e+00      5.65e-02    9.59e-02      1.16e-01    1.50e-01    1.0e-03
   8800      3.75e+00    3.19e+00      8.37e-02    9.03e-02      1.67e-01    1.42e-01    1.0e-03
   8900      3.42e+00    2.61e+00      5.16e-02    7.16e-02      1.53e-01    1.16e-01    1.0e-03
   9000      2.69e+00    2.73e+00      9.88e-02    3.52e-02      1.19e-01    1.22e-01    1.0e-03
   9100      3.21e+00    2.74e+00      7.92e-02    4.84e-02      1.43e-01    1.22e-01    1.0e-03
   9200      3.82e+00    3.81e+00      2.99e-02    1.33e-01      1.71e-01    1.68e-01    1.0e-03
   9300      3.63e+00    3.66e+00      5.59e-02    4.85e-02      1.62e-01    1.64e-01    1.0e-03
   9400      4.16e+00    3.96e+00      1.02e-01    1.70e-01      1.85e-01    1.76e-01    1.0e-03
   9500      3.10e+00    2.79e+00      9.33e-02    4.45e-02      1.38e-01    1.25e-01    1.0e-03
